BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"সবুজ পাতার কাফন","স্বাগতা ভট্টাচার্য্য চম্পা","TK. 220","TK. 187"
"লোক সংস্কৃতি লোক সাধক","সুমনকুমার দাশ","TK. 650","TK. 553"
"এটিএম বুথ","জিবলু রহমান","TK. 150","TK. 132"
"সেই বিজয়ের গল্প","সোলায়মান আহসান","TK. 190","TK. 167"
"উন্নয়নের গণতন্ত্র","ঋতো আহমেদ","TK. 135","TK. 119"
"শুধু ফুল চাই না ফলও চাই","শহীদুল আলম","TK. 250","TK. 213"
"ভাঙনের মুখ","ঋতো আহমেদ","TK. 135","TK. 119"
"ভূত বড় অদ্ভুত","লতিফ জোয়ার্দার","TK. 190","TK. 167"
"অনামিকার খরগোশ ছানা","মোনোয়ার হোসেন","TK. 150","TK. 132"
"শান্তির ডাক","হাফিজ মোঃ মাশহুদ চৌধুরী","TK. 250","TK. 213"
"ভাটির বাউল","সুমনকুমার দাশ","TK. 135","TK. 119"
"ফুলপরির উপহার","আরমানউজ্জামান","TK. 135","TK. 119"
"কোলা ব্যাঙের বিয়ে","মাহফুজুর রহমান","TK. 135","TK. 119"
"হাজী মোহাম্মদ দানেশ রচনাবলী","হাজী মোহাম্মদ দানেশ","TK. 400","TK. 340"
"মেহেরজান","মু. আনোয়ার হোসেন রনি","TK. 155","TK. 136"
"পকেট সেলাই করি ছেঁড়া জামার","সালাহউদ্দিন সালমান","TK. 120","TK. 106"
"দম-যোগিনীর তাল","জাফর সাদেক","TK. 175","TK. 154"
"বাংলা কথাসাহিত্যে মুসলিম নারী","ড. মমতাজ বেগম বড়ভূইয়া","TK. 500","TK. 425"
"Madhumati","রাবেয়া খাতুন","TK. 200","TK. 176"
"রাজশাহীর কথা","আনারুল হক আনা","TK. 2,000","TK. 1,900"
"কৃষ্ণগহ্বর, শিশু মহাবিশ্ব ও অন্যান্য রচনা","স্টিফেন হকিং","TK. 180","TK. 126"
"গল্প সম্ভার","মাহফুজ সিদ্দিকী","TK. 200","TK. 176"
"মুক্তিযুদ্ধের ১৩নং সেক্টর","মুনতাসীর মামুন","TK. 500","TK. 425"
"স্বপ্নডানায়","মাধুরী দেবনাথ","TK. 150","TK. 132"
"দিলওয়ারের শ্রেষ্ঠ কবিতা","জফির সেতু","TK. 450","TK. 383"
"পবনে স্বপন বুনি","অরবিন্দ দাসগুপ্ত","TK. 155","TK. 136"
"শ্রাবণসন্ধ্যা","কাজী বিশালাক্ষী","TK. 350","TK. 298"
"ছড়া রচনাবলি-৩","রব্বানী চৌধুরী","TK. 1,500","TK. 1,275"
"মনভূমির বসন্তে এসো","সঞ্জয় মুখাজ্জী","TK. 200","TK. 176"
"হলুদ বৃন্ত লাল গোলাপ","নাসির আহমেদ কাবুল","TK. 200","TK. 176"
"নিঃশব্দ প্রেম","মুহাম্মদ দিলওয়ার হুসাইন","TK. 200","TK. 176"
"নাথু দ্য গ্রেট","নীলকণ্ঠ জয়","TK. 160","TK. 141"
