BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"জলকুমারী","মোরশেদ আলম হৃদয়","TK. 160","TK. 141"
"মোরগছানার পাঠশালা","শ্যামলী বিনতে আমজাদ","TK. 70","TK. 49"
"Kids Colouring Book- 1 (Code- 09)","গাজী পেপার প্রোডাক্ট","TK. 130","TK. 91"
"সিনারি কালারিং বুক (সাবজেক্ট ভিলেজ সিনারি কালার পেস্টাল এজ ৮ প্লাস) (কোড- ২৮)","গাজী পেপার প্রোডাক্ট","TK. 130","TK. 91"
"Scenery Colouring Book (Subject Liberation War Of Bangladesh Colour Marking Pencil Age 5 Plus)  (Code- 25)","গাজী পেপার প্রোডাক্ট","TK. 130","TK. 91"
"Adventure Of Three Students","দেবাশীষ দেব","TK. 150","TK. 132"
"চলো রূপকথার দেশে","আলী ইমাম","TK. 250","TK. 213"
"ধর্ষিতার গোধূলি","উম্মে মুসলিমা","TK. 150","TK. 132"
"শেষ বসন্ত","মুর্তজা সাদ","TK. 140","TK. 123"
"মাইন্ড কইরেন না","সালাম সরকার","TK. 150","TK. 132"
"কালো হাতে সাদা আইন","মো. ইমরান হোসাইন রুমেল","TK. 140","TK. 123"
"সিংহ শহরের দিনরাত","মাজেদুল নয়ন","TK. 270","TK. 230"
"বনের গল্প","ফারজানা আহমেদ তরফদার ","TK. 179","TK. 170"
"ছড়ায় ছড়ায় আনন্দ","ফাতেমা তুজ জোহরা","TK. 135","TK. 128"
"রং করা ভারি মজা (ব্যঞ্জনবর্ণ)","ফাতেমা তুজ জোহরা","TK. 105","TK. 100"
"আমার মিনি","সাবরিনা ইসলাম","TK. 95","TK. 90"
"Coloring Fun Alphabets","নাজনীন এফ. রহমান","TK. 85","TK. 81"
"Coloring Fun Numbers","নাজনীন এফ. রহমান","TK. 60","TK. 57"
"Fun With Phonics (Book- 1)","ইসবাহনা নাজ","TK. 120","TK. 114"
"Fun Play Book- 1 (Creative Activities For Kids)","বিভা সিদ্দিকী","TK. 195","TK. 185"
"Fun Play Book- 3 (Creative Activities For Kids)","বিভা সিদ্দিকী","TK. 215","TK. 204"
"Get Ready For Kindergarten (Stickers Inside!)","নাজনীন এফ. রহমান","TK. 320","TK. 304"
"তোতোন মামার ম্যাজিক ঝোলা","নাজিয়া জাবীন","TK. 179","TK. 170"
"সংহিতা সংলাপ","মোঃ আলী আকবর নবী","TK. 130","TK. 114"
"এসো বিপরীত শব্দ শিখি","সাবরিনা ইসলাম","TK. 120","TK. 114"
"যখন আমি ঘুরি ও উড়ি","সাবরিনা ইসলাম","TK. 115","TK. 109"
"I See Colors!","সাবরিনা ইসলাম","TK. 89","TK. 85"
"Discovering Bangladesh (Book- 1)","মনোয়ার শামসী সাখাওয়াত","TK. 450","TK. 428"
"গল্পগুচ্ছ (অখণ্ড সংকলন)","রবীন্দ্রনাথ ঠাকুর","TK. 550","TK. 468"
"স্বপ্ন ওড়ে রঙিন ডানায়","আজাদ আশরাফ","TK. 70","TK. 49"
"আবুল মনসুর আহমদের প্রাসঙ্গিকতা : সাহিত্য সাংবাদিকতা রাজনীতি","ইমরান মাহফুজ","TK. 250","TK. 213"
"অকৃতজ্ঞ অমানুষ","আরিফ মিলন","TK. 125","TK. 110"
"ভবঘুরের ডায়েরি","তুষার কাব্য","TK. 275","TK. 234"
"শ্রেষ্ঠ কিশোর কবিতা","রাশেদ রউফ","TK. 200","TK. 176"
"Hand Book On Non-Life Insurance And Reinsurance","এ.কে.এম. এহসানুল হক","TK. 300","TK. 255"
"অদৃশ্যের দৃশ্য","অনিন্দ্য আনিস","TK. 140","TK. 123"
"সুন্দরী পরি","সজীব মোহাম্মদ আরিফ","TK. 130","TK. 114"
"পৃথিবীর ইতিহাস","রমাকৃষ্ণ মৈত্র","TK. 500","TK. 425"
"ট্যাংরা মামা বনাম ধূমকেতু ব্রাদার্স (সাইন্স ফিকশান মহাশূন্যে যুদ্ধ পর্ব- ১)","ইফতেখার আহমেদ","TK. 250","TK. 188"
"পাখিরা","আন্দালিব রাশদী","TK. 192","TK. 169"
"মঙ্গলবারের জন্য অপেক্ষা","হামীম কামরুল হক","TK. 335","TK. 285"
"সংবিধান, ব্রহ্মপুত্র ও বিবিধ প্রসঙ্গ","নাহিদ হাসান","TK. 400","TK. 340"
"In Public Service Extraordinaire: Azimuddin Ahmad- Nasimuddin Ahmad","নাসিমুদ্দিন আহমাদ","TK. 450","TK. 383"
"জুন মাসের ডায়েরি","শুভ নীল","","TK. 220"
"দীনবন্ধু মিত্র মীর মশাররফ হোসেনের নাট্যসাহিত্য: প্রতিবাদ ও দেশাত্মবোধ","ড. মো. তসলিম উদ্দীন","TK. 500","TK. 425"
"হাতের মুঠো বিজ্ঞান","নাদিরা পারভীন","TK. 200","TK. 176"
"একান্ত আলাপচারিতায় ড. বদিউল আলম মজুমদার","নেসার আমিন","TK. 500","TK. 425"
"একাত্তরের গোপন দলিল","আরিফুর রহমান দোলন","TK. 300","TK. 255"
"দ্য হাউজ ইন দ্য ফগ","ইনিড ব্লাইটন","TK. 250","TK. 188"
"আমেরিকা আমেরিকা","বদরুল মিল্লাত","TK. 250","TK. 188"
"আড্ডাঘর","মোহম্মদ আসিফ","TK. 180","TK. 158"
"অন্তঃসলিলা","মারজানা সাবিহা শুচি","TK. 250","TK. 213"
"চিত্তবিক্ষেপ","এফ কে সয়ফল","TK. 165","TK. 145"
"ভালোবাসা ও বিষণ্ণতার গল্প","রীলা মানসুরা","TK. 260","TK. 221"
"এক ঝাঁক গল্প","জ্যোতিভূষণ চাকী","TK. 120","TK. 106"
"মওলানা ভাসানী প্রণীত ইসলামী রচনা সংগ্রহ","জিবলু রহমান","TK. 350","TK. 298"
"আমার বাঘমামাই","ধ্রুব এষ","TK. 250","TK. 213"
"আদর্শভরা কাহিনী","রূহানী শাইখ হযরত মাওলানা এমামুদ্দীন মোঃ ত্বহা","TK. 120","TK. 70"
"শব্দের বেখেয়ালি আঁচড়","অপরাজিতা অর্পিতা","TK. 180","TK. 135"
"স্মৃতি : ১৯৭১ -৩য় খণ্ড","রশীদ হায়দার","TK. 240","TK. 218"
"খুকুর ভয়","মাহবুবা চৌধুরী","TK. 60","TK. 46"
"আর্নেস্ট হেমিংওয়ের নির্বাচিত কলাম","মুজতবা আহমেদ মুরশেদ","TK. 135","TK. 119"
"আনান যখন গোয়েন্দা ","মাহবুবা চৌধুরী","TK. 200","TK. 176"
"ব্রাত্যজনের কথক","শওকত আলী","TK. 275","TK. 234"
"বাংলা ভাষা ও সাহিত্য পূর্ণাঙ্গ সমাধান","মোস্তফা তারিকুল আহসান","TK. 225","TK. 205"
"ছায়াচ্ছন্ন হে আফ্রিকা : আফ্রিকী সাহিত্য সংকলন","কাজল বন্দ্যোপাধ্যায়","TK. 500","TK. 425"
"মানুষ, মানবতা ও রোহিঙ্গা","ড. মোহাম্মদ একরামুল ইসলাম","TK. 200","TK. 140"
"বর্ণবিজ্ঞান","হেলাল উদ্দিন","TK. 200","TK. 140"
"Bangladesh Economy in Transition (An Effective Development Strategy)","ড. শামসুল আলম","TK. 450","TK. 383"
"আত্মা রক্তাক্ত হয় প্রতিদিন","মাসুদ রানা","TK. 130","TK. 114"
"শালঘরমধুয়ার নীলকুঠি","মাসুদ রানা","TK. 50","TK. 45"
"ভয়াবহ হাসির আলামত","আবু মোহাম্মদ","TK. 300","TK. 255"
"অমর ভ্রমর কাব্য","সানাউল হক খান","TK. 300","TK. 255"
"না হেসে পারবেন না","আ খ আনলিমিটেড","TK. 300","TK. 255"
"শত মুসলিম মনীষী","মোঃ শফিকুর রহমান তালুকদার","TK. 600","TK. 420"
"নোনা ব্যঞ্জনার শিলালিপি","আবু হাসান শাহরিয়ার","TK. 200","TK. 176"
"শৈশবের সিঁড়িগুলো ১৯৬৯ থেকে ১৯৭১","আবু হাসান শাহরিয়ার","TK. 350","TK. 298"
"নৃত্য ","ড. মুকিদ চৌধুরী","TK. 300","TK. 234"
"কিশোর কবিতা চয়ন","মাহমুদউল্লাহ","TK. 130","TK. 114"
"বিশ্বের শ্রেষ্ঠ ১০০ মনীষী","মাইকেল এইচ. হার্ট","TK. 350","TK. 298"
"বাংলাদেশের মুক্তিযুদ্ধ","মিজানুর রহমান ","TK. 150","TK. 105"
"দর্শন ও বিজ্ঞান জিজ্ঞাসার ‍দিগন্ত","রাগিব আহসান খান","TK. 600","TK. 510"
"আশামে ছিলেটি ভাশা আনদোলন","ইতিহাসবিদ ড. মুমিনুল হক ","TK. 200","TK. 176"
"এখানে ভাড়ায় মানুষ পাওয়া যায়","মুহাম্মদ মহিউদ্দিন","TK. 300","TK. 210"
"সাদা মলাটে প্রিয়তমা","মামুন মুনতাসির","TK. 160","TK. 141"
"দ্যা অ্যাপেল ভেন্ডর এন্ড মাই জুলিয়েটস্","মলয় দত্ত","TK. 180","TK. 158"
"নাইট ফল্স","শঙ্খচূড় ইমাম","TK. 160","TK. 141"
"কিংবদন্তির ভাগীরথী","মনি হায়দার ","TK. 240","TK. 204"
"নির্বাচিত ১০০ কবিতা","রবীন্দ্রনাথ ঠাকুর","TK. 290","TK. 247"
"হাসির জোকস","রহমান শেলী","TK. 250","TK. 213"
"একাত্তরের দলিল-২","আন্দালিব রাশদী","TK. 450","TK. 383"
"লেট হার ফ্লাই","লুইস কার্পেন্টার","TK. 250","TK. 193"
"মুসলিম গোয়েন্দা বাবু -১ম ও ২য় খণ্ড একত্রে","রফিক আহমেদ","TK. 460","TK. 276"
"হানসেল ও গ্রেটেলের গল্প","জোবায়ের আহমেদ","TK. 60","TK. 42"
"মুক্তিযুদ্ধে যশোর","আসাদুজ্জামান আসাদ","TK. 300","TK. 255"
"ইতিহাসের মহানায়ক বঙ্গবন্ধু শেখ মুজিবুর রহমান","জাকির হোসেন","TK. 250","TK. 188"
"ক্যামপাইলেশন অভ্ দী জেনরল্ ফিন্যানশল্ রূলস্ (সরকারি অনুমোদন প্রাপ্ত)","প্রণব চক্রবর্তী","TK. 635","TK. 540"
"উপন্যাস চতুষ্টয়","হাসান আজিজুল হক","TK. 350","TK. 298"
"আর্মেনিয়ার বাংলাদেশ","সাইফুল্লাহ সাদেক","TK. 280","TK. 238"
"তন্ত্রপুথি, মারফত ও আমাদের আখড়াবাড়ি","সোমব্রত সরকার","TK. 350","TK. 298"
"খুকু, তোমার বসত","ডা. আবদুল হাই মিনার","TK. 220","TK. 187"
"Ramgolam","হরিশংকর জলদাস","TK. 400","TK. 340"
"দত্তা","শরৎচন্দ্র চট্টোপাধ্যায়","TK. 300","TK. 255"
"চতুরঙ্গ","রবীন্দ্রনাথ ঠাকুর","TK. 150","TK. 132"
"ঘরে-বাইরে","রবীন্দ্রনাথ ঠাকুর","TK. 350","TK. 298"
"পল্লী-সমাজ","শরৎচন্দ্র চট্টোপাধ্যায়","TK. 200","TK. 176"
"অবরোধ-বাসিনী","বেগম রোকেয়া সাখাওয়াত হোসেন","TK. 120","TK. 84"
"মেঘবালিকা","সৈয়দা শাহজাদী রহমান","TK. 200","TK. 176"
"ডাকঘর","রবীন্দ্রনাথ ঠাকুর","TK. 130","TK. 91"
"কল্যাণ কুড়িয়ে নেব","মুহাম্মদ ফয়জুল হক","TK. 165","TK. 145"
"অপরাধ ও কার্যক্রম","নাজমুল আহসান চৌধুরী","TK. 1,000","TK. 850"
"গাজী মিয়ার বস্তানী","মীর মশাররফ হোসেন","TK. 350","TK. 298"
"আমার জীবনীর জীবনী বিবি কুলসুম","মীর মশাররফ হোসেন","TK. 180","TK. 158"
"বসন্ত কুমারী","মীর মশাররফ হোসেন","TK. 120","TK. 106"
"আন্তর্জাতিক আইনের ভাষ্য","গাজী শামছুর রহমান","TK. 600","TK. 510"
"মুক্তিযুদ্ধে মুজিববাড়ি গোপালগঞ্জ","খান চমন-ই-এলাহি","TK. 1,000","TK. 780"
"গ্রীক পুরাণের গল্প","এ কে এম আশরাফুল হক","TK. 225","TK. 191"
"গতকাল লাল","কাজল শাহনেওয়াজ","TK. 85","TK. 77"
"টেলিভিশন ও চলচ্চিত্রে অভিনয়ের প্রথম পাঠ","ডাঃ মুহাম্মদ তারেক মাহমুদ","TK. 80","TK. 72"
"ইতিহাসচর্চায় ভূগোল","মো: আদনান আরিফ সালিম","TK. 300","TK. 255"
"আমাদের মুক্তির সংগ্রাম","মোঃ আবুল কালাম আজাদ","TK. 175","TK. 123"
"Armed Quest For Independence","কর্ণেল শওকত আলী (অবঃ)","TK. 425","TK. 361"
"ইস্তাম্বুল সিটি অব ফ্রাগ্রান্স","রাবেয়া রব্বানী","TK. 350","TK. 298"
"পরমের সাথে কথোপকথন","আফরোজা সোমা","TK. 200","TK. 176"
"অংক নিয়ে মজার খেলা","ড. অমল মিত্র","TK. 250","TK. 213"
"নীল কমল আর লাল কমল","দক্ষিণারঞ্জন মিত্র মজুমদার","TK. 95","TK. 45"
"পদ্মাবতী কিংবা সুন্দরী মেয়েটির নাক বোঁচা","নাজিব ওয়াদুদ","TK. 100","TK. 90"
"ট্রেজার আইল্যান্ড","রবার্ট লুইস স্টিভেনসন","TK. 200","TK. 182"
"নাকফুল","শৈবাল সারোয়ার","TK. 160","TK. 141"
"মিস্টার টেরোরিস্ট","এইচ এম মুশফিক","TK. 320","TK. 272"
"ছোটদের পৃথিবী পরিচিতি","মশিউর রহমান ","TK. 250","TK. 120"
"কালের সংক্ষিপ্ত ইতিহাস","স্টিফেন ডব্লিউ. হকিং","TK. 180","TK. 158"
"সংগীত-গবেষক নজরুল (দ্বিতীয় পর্ব)","শ্যামাপ্রসাদ মুখোপাধ্যায়","TK. 200","TK. 190"
"ইচ্ছামৃত্যুর ইশতেহার","চন্দন আনোয়ার ","TK. 200","TK. 176"
"আমি নাসিফ বলছি","নাছিমা বেগম","TK. 300","TK. 255"
"গণদেবতা","তারাশঙ্কর বন্দ্যোপাধ্যায়","TK. 230","TK. 173"
"আম আঁটির ভেঁপু","বিভূতিভূষণ বন্দ্যোপাধ্যায়","TK. 200","TK. 150"
"উলু পিশাচের আত্মা","মোশতাক আহমেদ","TK. 300","TK. 234"
"ক্ষণজন্মা কিংবদন্তী : জ্যঁ নিকোলাস আর্তুর র‌্যাবো","মঈন ফারুক","TK. 200","TK. 176"
"এ জার্নি টু স্পিকিং","ড. মো. আনোয়ারুল ইসলাম","TK. 150","TK. 132"
"আধুনিক তুরস্কের ইতিহাস (১৯১৯-১৯৮০)","আবদুস ছালাম","TK. 320","TK. 240"
"ইরাক-কুয়েত সংকট ও বাংলাদেশের কুটনীতি","প্রফেসর ড. মো. ফজলুল হক","TK. 200","TK. 176"
"পশ্চিমে হেলান দেয়া গদ্য","ফেরদৌস নাহার","TK. 280","TK. 238"
"প্রসঙ্গটি বিব্রতকর ","রুমা মোদক","TK. 190","TK. 167"
"নির্বাচিত কবিতা","সরদার ফারুক","TK. 300","TK. 255"
"কিছু কিছু ছড়ায় ইস্যু","জুসেফ খান","TK. 200","TK. 176"
"মন্ত্রিত্বকালীন পাঁচ বছরে ব্যারিস্টার শফিক আহমেদ - ২","খালিদ মারুফ","TK. 1,000","TK. 850"
"ঘুমের শহর","আবদুল্লা আল ফয়সাল","TK. 150","TK. 132"
"নোনা শহর","সরদার ফারুক","TK. 135","TK. 119"
"বাংলাভাষার সেরা অণুগল্প","বিলাল হোসেন","TK. 270","TK. 230"
"কবিতার স্বদেশ ও বিশ্ব","কামরুল ইসলাম","TK. 245","TK. 208"
"বঙ্গবন্ধু শেখ রাসেল ও মুক্তিযুদ্ধের কিশোরগল্প","রফিকুর রশীদ","TK. 150","TK. 132"
"শাদা কফিনে মেঘের শব্দ","মাহবুব মিত্র","TK. 120","TK. 106"
"আমাদের পৃথিবী (বিজ্ঞান সিরিজ-২)","হাসনাইন সাজ্জাদী","TK. 170","TK. 150"
"উপন্যাস ত্রয়ী","ইমদাদুল হক মিলন","TK. 600","TK. 510"
"আর্কিমিডিসের গল্প","সৈয়দ নজমুল আবদাল ","TK. 100","TK. 90"
"কুরআন থেকে শিখি সিরিজ (বক্স সেট)","ইকবাল কবীর মোহন","TK. 1,200","TK. 840"
"নীতিকথার গল্প শুনি","ইকবাল কবীর মোহন","TK. 150","TK. 105"
"আমাদের জাতির পিতা","ফারুক নওয়াজ","TK. 200","TK. 140"
"গল্পসমগ্র","সুকুমার রায়","TK. 350","TK. 298"
"ইতিকাহিনী","প্রিন্সিপাল ইবরাহীম খাঁ","TK. 200","TK. 176"
"য়ুরোপ প্রবাসীর পত্র","রবীন্দ্রনাথ ঠাকুর","TK. 100","TK. 75"
"ছাত্র জীবনে মেধা বিকাশ ও ভালো ছাত্র হওয়ার কৌশল","ড. হুমায়ূন কবীর","TK. 200","TK. 176"
"শিশু-কিশোরদের বঙ্গবন্ধু ও বাংলাদেশ","এ কে এম ফজলুল হক","TK. 100","TK. 90"
"স্টুডেন্টস ম্যাথ এনসাইক্লোপিডিয়া","পার্থ কর্মকার","TK. 175","TK. 123"
"খোকা থেকে জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান","মোহাম্মদ জিল্লুর রহমান","TK. 150","TK. 132"
"মুটিং ও মুট কোর্ট","তৌফিক আমির সৌরভ","TK. 200","TK. 140"
"শ্রেণিকরণ (ব্যাবহারিক)","মো: কাওছার আহমেদ ","TK. 217","TK. 152"
"ছোটদের বঙ্গবন্ধু","ডঃ শাহ আলম","TK. 160","TK. 120"
"কারাগারে শেখ মুজিব তার জীবন ও রাজনীতি","মীর মো: শাহ্জাহান (বীর মুক্তিযোদ্ধা)","TK. 175","TK. 154"
"স্মৃতির দর্পণে বাংলাদেশ","মাওলানা শামসুদ্দোহা কাসেমী","TK. 300","TK. 189"
"অন্ধ মুসাফির","সানোয়ার রাসেল","","TK. 130"
"পোশাক শিল্পের মান ব্যবস্থাপনা এবং টি. কিউ. এম","প্রকৌশলী এ. জে. এস. এম খালেদ","TK. 450","TK. 410"
"খুদে বিজ্ঞানীদের স্কুলভিত্তিক বিজ্ঞান প্রজেক্ট ","অনিক শুভ","TK. 250","TK. 120"
"১৯৭১ ডকুমেন্টস","সাইদ হাসান দারা","TK. 600","TK. 510"
"চিত্রশিল্পী জয়নুল আবেদীন","আসাদ চৌধুরী","TK. 100","TK. 90"
"চিত্রশিল্পী অবনীন্দ্রনাথ ঠাকুর","আসাদ চৌধুরী","TK. 100","TK. 90"
"দ্য জেনোসাইড ১৯৭১","আরিফ নজরুল ","TK. 400","TK. 340"
"Resilience in Action: Challenges and Solutions to Climate Change in Bangladesh","সামিয়া আহমেদ সেলিম","TK. 950","TK. 808"
"নওগাঁর লোক প্রবাদ","কাজী রাহাত","TK. 500","TK. 425"
"উনিশ শতকে বাংলাদেশের সংবাদ সাময়িকপত্র -৪র্থ খণ্ড","মুনতাসীর মামুন","TK. 500","TK. 425"
"বৈদিক কোষ -৩য় খণ্ড","সবিতা রাণী আচার্য","TK. 250","TK. 213"
"দ্য লাইটহাউজ অ্যাট দ্য অ্যান্ড অব দ্য ওয়ার্ল্ড","জুলভার্ণ","TK. 140","TK. 123"
"বিশ্বের শ্রেষ্ঠ ১০১ বিজ্ঞানীর জীবনী","মোহাম্মদ ইমাম উদ্দিন ফারুক","TK. 300","TK. 210"
"বিদ্যাসাগরের চটি","গাজী শাহিদুজ্জামান লিটন","TK. 200","TK. 176"
"চাঁপা ডাঙার বউ","তারাশঙ্কর বন্দ্যোপাধ্যায়","TK. 200","TK. 176"
"আধুনিক পদ্ধতিতে ফল-ফুল ও শাকসবজির চাষ ব্যবস্থাপনা","কৃষিবিদ সিরাজুল করিম","TK. 500","TK. 425"
"শেক্সপিয়র রচনাসমগ্র","উইলিয়াম শেক্সপীয়ার","TK. 290","TK. 203"
"ভারতীয় উপমহাদেশের ইতিহাস-মুসলমান আমল","আবদুল করিম","TK. 375","TK. 319"
"একাত্তরের স্বাধীনতা যুদ্ধে বাঙলাদেশে কমিউনিস্টদের রাজনৈতিক ভূমিকা","বদরুদ্দীন উমর","TK. 200","TK. 176"
"জাতির পিতা ও চার নেতা","মোহাম্মদ জিল্লুর রহমান","TK. 750","TK. 638"
"স্ট্রসনের দর্শন","সন্দীপ পাল","TK. 200","TK. 176"
"কবি","তারাশঙ্কর বন্দ্যোপাধ্যায়","","TK. 152"
"বঙ্গবন্ধু ও একটি সুন্দর সকাল","ফারুক নওয়াজ","TK. 250","TK. 213"
"মুদ্রায় ও শিলালিপিতে মধ্যযুগের বাংলার সমাজ সংস্কৃতি (১২০০-১৫৩৮ খ্রি.)","এ কে এম শাহনাওয়াজ","TK. 350","TK. 298"
"সমাজ ও সভ্যতার ক্রমবিকাশ","রেবতীমোহন বর্মণ","TK. 250","TK. 188"
"রঙিন বিজ্ঞানের উদ্ভিদ জগৎ","আলী ইমাম","TK. 250","TK. 175"
"রঙিন ছোটদের উপদেশমূলকঃ ঈশপের গল্প","শেখ হাসান সালমান ফারসী","TK. 250","TK. 175"
"মা","ম্যাক্সিম গোর্কি","TK. 300","TK. 150"
"শান্তির নবী","এহসানুল কবীর","TK. 120","TK. 84"
"শ্রেষ্ঠ রচনাসমগ্র","শরৎচন্দ্র চট্টোপাধ্যায়","TK. 300","TK. 150"
"কবিতায় এপার ওপার- ৫","সাদেক সরওয়ার","TK. 250","TK. 195"
"আমি রাসেল বলছি","মিজানুর রহমান মিজান    ","TK. 375","TK. 281"
"প্রকৃতি ও পরিবেশ প্রসঙ্গ","সাধন সরকার","TK. 300","TK. 234"
"পালি ভাষার সহজ ব্যাকরণ","ড. দিলীপ কুমার বড়ুয়া","TK. 400","TK. 340"
"দুটি শব্দ অনি:শেষ বঙ্গবন্ধু বাংলাদেশ","মোহাম্মদ জিল্লুর রহমান","TK. 180","TK. 158"
"কবিতা আধুনিকতা ও বাংলাদেশের কবিতা","আহমদ রফিক","TK. 500","TK. 390"
"A Handbook of Good Teaching and Research","ডঃ আইরোম গম্ভীর সিং","TK. 200","TK. 176"
"বিশেষ দিনের রিপোর্টিং","মিজান রহমান","TK. 150","TK. 132"
"ছোট বিড়াল বড় বিড়াল","আহমেদ রিয়াজ","TK. 100","TK. 90"
"গল্পগুলো গপ্পো নয়","সালিম আব্দুল্লাহ","TK. 280","TK. 168"
"তথ্য ও চিত্রে বঙ্গবন্ধুর জীবন","মো. রাকিবুল আলম শাহীন","TK. 300","TK. 255"
"সময়ের প্রতিচ্ছবি","জান্নাতুল ফেরদৌস আইভী","TK. 200","TK. 176"
"মানবী","জান্নাতুল ফেরদৌস আইভী","TK. 200","TK. 176"
"বিপিনের সংসার","বিভূতিভূষণ বন্দ্যোপাধ্যায়","TK. 330","TK. 281"
"দিবারাত্রির কাব্য","মানিক বন্দ্যোপাধ্যায়","TK. 240","TK. 204"
"আব্দুল্লাহ","কাজী ইমদাদুল হক","TK. 350","TK. 298"
"চেতনা","খোন্দকার হাসান আলী","TK. 200","TK. 176"
"কেশবতী রাজকন্যা","আসাদ চৌধুরী","TK. 130","TK. 114"
"জলের দামে","জুলফিকার রাসেল","TK. 800","TK. 680"
"নরেন্দ্রনাথ মিত্রের ছোটগল্প বিষয়বৈচিত্র্য ও শিল্পরূপ","তুহিন ওয়াদুদ","TK. 660","TK. 561"
"পলিটিশিয়ান","কাসেম আলী রানা","TK. 150","TK. 132"
"অনু এবং ছয় দফা খাতা","ধ্রুব এষ","TK. 140","TK. 123"
"Nursury Rhymes","চিলড্রেন বুকস্‌ সেন্টার","TK. 160","TK. 141"
"ডাইনোসর","চিলড্রেন বুকস্‌ সেন্টার","TK. 250","TK. 213"
"সঞ্চয়িতা","রবীন্দ্রনাথ ঠাকুর","TK. 1,200","TK. 1,020"
"রবীন্দ্র উপন্যাসসমগ্র","রবীন্দ্রনাথ ঠাকুর","TK. 2,000","TK. 1,700"
"ভূমি ব্যবহার: নীতিমালা ও সংস্কার","হাসান জাহাঙ্গীর আলম","TK. 540","TK. 324"
"গল্প নয় সত্যি","লুমা ফারহানা","TK. 120","TK. 92"
"পালকি","নিশাত ইসলাম","TK. 220","TK. 187"
"ভূতের জন্মদিন","শাহআলম সাজু","TK. 150","TK. 132"
"মেয়াদোত্তীর্ণ রাজমহল","আকাশ মামুন","TK. 200","TK. 176"
"রাজনৈতিক ও সামাজিক উপন্যাস","রিজিয়া রহমান ","TK. 700","TK. 595"
"কক্সবাজারের মাছলি বাবা","রানা মাসুদ (কবি ও কথাসাহিত্যিক)","TK. 200","TK. 176"
"পদার্থবিদ্যার মজার কথা ১","ইয়া. পেরেলমান","TK. 300","TK. 255"
"পদার্থবিদ্যার মজার কথা ২","ইয়া. পেরেলমান","TK. 330","TK. 281"
"সৌন্দর্য শিল্পকলা ও নন্দনতত্ত্ব -৪র্থ খণ্ড","ড. এম. মতিউর রহমান","TK. 500","TK. 425"
"সৌন্দর্য শিল্পকলা ও নন্দনতত্ত্ব -৫ম খণ্ড","ড. এম. মতিউর রহমান","TK. 480","TK. 408"
"বঙ্গবন্ধু অযুত প্রাণের নাম (বাংলা-ইংলিশ)","শুক্লা পঞ্চমী","TK. 550","TK. 468"
"সাতজন","হাসনাত আবদুল হাই","TK. 400","TK. 340"
"দি গ্র্যান্ড ডিজাইন","স্টিফেন হকিং","TK. 250","TK. 213"
"পদার্থবিদ্যার মজার কথা ২","ইয়া. পেরেলমান","TK. 250","TK. 213"
"সাংবাদিকের রোজনামচা","মোহাম্মদ মোদাব্বের","TK. 300","TK. 255"
"কিশোর এনসাইক্লোপিডিয়া: পৃথিবী ও মহাকাশ","ডেভিড ল্যাম্বার্ট","TK. 280","TK. 238"
"কিশোর এনসাইক্লোপিডিয়া: প্রাণিজগৎ ও মানবদেহ","ডেভিড ল্যাম্বার্ট","TK. 280","TK. 238"
"কিশোর এনসাইক্লোপিডিয়া: সংখ্যা ও বিজ্ঞান","ডেভিড ল্যাম্বার্ট","TK. 280","TK. 238"
"শিশুর সুন্দর নাম","আহমেদ রিয়াজ","TK. 150","TK. 132"
"ঘাটে নদী নেই","শিহাব শাহরিয়ার","TK. 175","TK. 154"
"নজরুল সাহিত্যে বিপ্লবী চেতনা","পারভীন আক্তার জেমী","TK. 400","TK. 340"
"ব্রিফকেস রহস্য","সুনীল গঙ্গোপাধ্যায় (নীললোহিত)","TK. 250","TK. 228"
"মুক্তি সংগ্রামে নাসের","আনিস সিদ্দিকী","TK. 250","TK. 213"
"মিলাদ কিয়ামের দলিল","শাহ সূফী মো: আ: মজিদ আল চিশতী নিজামী( সূফী মজিদ)","TK. 400","TK. 340"
"দর্শন গবেষণা পদ্ধতি","ড. এন এইচ এম আবু বকর","TK. 140","TK. 123"
"আফ্রিকা সাহিত্য ও নন্দনভাবনা","ড. এলহাম হোসেন","TK. 250","TK. 150"
"সন্তানত্ব","মেহেদী হাসান","TK. 400","TK. 340"
"বঙ্গবন্ধু ও স্বাধীন বাংলাদেশ","পলক রায়","TK. 300","TK. 255"
"আঁধারে আলোর জোছনা‬","আইনুল হক কাসেমী","TK. 250","TK. 158"
"সায়েন্স ফিকশন সমগ্র ২য় খণ্ড","দীপু মাহমুদ","TK. 525","TK. 446"
"Bangladesh Land, Forest and Forest People","ফিলিপ গাইন","TK. 300","TK. 255"
"নক্ষত্রের মুখোমুখি","অধ্যাপক নীলকমল বিশ্বাস","TK. 350","TK. 273"
"বনলতা সেন","জীবনানন্দ দাশ","TK. 150","TK. 132"
"সামুদ্রিক প্রাণী","হারপ্রিত কর","TK. 150","TK. 132"
"বন্যপ্রাণী","হারপ্রিত কর","TK. 150","TK. 132"
"কিছুটা প্রেম বাকীটা ভালোবাসা ","মনিষা রিফাহ তাসফিয়া","TK. 200","TK. 176"
"অতীত একটা ভিনদেশ","মোজাফফর হোসেন","TK. 300","TK. 255"
" টেম্পু পাশা নাইটসিফট","রাজুব ভৌমিক","TK. 275","TK. 234"
